satisfaction	marital	income	age	religious	onlyMyReligion	religionRules	armyRules	continent	region
8	6	5	21	1	2	1	1	Africa	12
5	6	6	24	1	1	1	1	Africa	12
4	6	6	26	1	3	2	1	Africa	12
8	6	5	28	1	3	2	2	Africa	12
8	1	7	35	1	3	2	2	Africa	12
7	1	5	36	1	1	2	1	Africa	12
7	1	7	41	1	1	1	1	Africa	12
5	1	2	44	1	2	1	1	Africa	12
6	1	5	59	1	1	2	1	Africa	12
5	1	4	72	1	3	2	2	Africa	12
5	6	5	23	1	1	1	1	Africa	12
3	1	4	29	1	2	2	2	Africa	12
5	1	3	30	1	2	2	2	Africa	12
3	6	5	30	1	1	1	2	Africa	12
4	6	4	31	1	2	2	2	Africa	12
3	1	4	40	1	1	1	2	Africa	12
7	1	5	44	1	2	1	3	Africa	12
6	1	5	47	1	2	3	2	Africa	12
5	1	4	52	1	2	1	2	Africa	12
5	1	5	68	1	2	2	1	Africa	12
10	6	7	19	1	1	1	4	Africa	12
1	6	1	20	2	1	1	4	Africa	12
10	6	1	23	1	1	1	4	Africa	12
1	6	5	24	1	1	1	4	Africa	12
10	6	3	30	1	1	1	-2	Africa	12
7	1	3	36	1	1	1	4	Africa	12
5	1	5	44	-2	1	1	4	Africa	12
5	1	4	47	-2	1	1	4	Africa	12
10	1	5	55	1	1	1	4	Africa	12
10	1	5	65	1	1	1	1	Africa	12
7	6	6	20	-2	1	1	4	Africa	12
10	6	4	23	1	1	2	3	Africa	12
7	1	4	31	-2	1	1	3	Africa	12
10	1	5	32	1	2	2	4	Africa	12
9	4	2	42	1	1	1	4	Africa	12
10	1	5	46	1	2	2	2	Africa	12
4	1	5	55	1	2	2	3	Africa	12
10	1	3	76	1	1	1	1	Africa	12
10	1	3	76	1	1	1	1	Africa	12
10	6	4	18	-2	1	1	4	Africa	12
10	6	5	21	1	1	1	3	Africa	12
8	6	9	28	1	2	1	4	Africa	12
8	6	1	29	1	1	1	4	Africa	12
7	6	3	32	2	1	1	2	Africa	12
-1	1	10	39	1	1	-2	-2	Africa	12
8	3	7	40	2	1	1	2	Africa	12
5	1	5	44	1	1	1	3	Africa	12
10	6	7	55	1	1	1	3	Africa	12
8	1	7	63	2	1	1	-2	Africa	12
8	6	5	25	1	1	1	3	Africa	12
8	6	3	23	1	1	1	2	Africa	12
7	6	5	24	-2	1	1	1	Africa	12
5	6	3	24	1	1	1	-2	Africa	12
6	6	9	24	1	1	1	3	Africa	12
9	6	8	25	1	1	2	3	Africa	12
5	6	4	25	1	1	1	3	Africa	12
4	6	5	28	1	1	1	-2	Africa	12
1	6	5	28	1	1	1	4	Africa	12
6	3	5	29	1	1	2	4	Africa	12
1	1	3	87	1	1	1	-2	Africa	12
7	6	6	22	1	1	2	1	Africa	12
6	6	7	24	1	1	1	1	Africa	12
7	6	6	24	1	2	1	4	Africa	12
6	6	7	28	1	1	1	4	Africa	12
8	6	8	45	1	1	2	2	Africa	12
10	1	4	49	1	1	1	4	Africa	12
10	1	6	51	1	1	1	3	Africa	12
8	1	4	61	1	1	1	4	Africa	12
10	1	7	62	1	1	1	1	Africa	12
4	1	3	44	1	2	-2	-2	Africa	12
5	6	5	31	2	1	2	3	Africa	12
5	1	2	32	1	1	1	-2	Africa	12
1	6	5	32	-2	1	1	-2	Africa	12
5	1	2	33	1	1	1	-2	Africa	12
1	1	5	37	1	1	1	-2	Africa	12
5	6	5	46	2	1	2	3	Africa	12
5	6	4	48	2	1	2	3	Africa	12
7	6	3	60	2	1	1	-2	Africa	12
-2	6	2	69	1	1	1	-2	Africa	12
7	6	3	50	2	1	1	-2	Africa	12
5	6	5	23	2	1	2	3	Africa	12
5	6	5	25	2	1	2	3	Africa	12
5	6	2	34	1	1	1	-2	Africa	12
5	6	5	35	2	1	2	3	Africa	12
5	6	5	37	2	1	2	3	Africa	12
5	1	5	40	2	1	2	3	Africa	12
1	1	5	42	1	1	1	-2	Africa	12
5	6	3	44	2	1	2	3	Africa	12
-2	1	2	64	-2	1	1	-2	Africa	12
7	6	3	70	2	1	1	-2	Africa	12
5	6	1	27	1	1	1	-2	Africa	12
5	6	1	30	1	1	1	-2	Africa	12
1	6	5	33	-2	1	1	-2	Africa	12
5	6	2	36	1	1	1	-2	Africa	12
1	1	5	41	1	1	1	-2	Africa	12
5	6	5	43	2	1	2	3	Africa	12
5	6	5	44	2	1	2	3	Africa	12
7	6	3	59	2	1	1	-2	Africa	12
-2	6	2	62	1	1	1	-2	Africa	12
7	6	3	62	2	1	1	-2	Africa	12
5	6	5	32	2	1	2	3	Africa	12
5	6	5	32	2	1	2	3	Africa	12
5	6	5	33	2	1	2	3	Africa	12
5	6	5	33	2	1	2	3	Africa	12
1	6	5	34	-2	1	1	-2	Africa	12
1	6	5	34	-2	1	1	-2	Africa	12
5	6	2	35	1	1	1	-2	Africa	12
5	6	2	37	1	1	1	-2	Africa	12
1	6	5	38	-2	1	1	-2	Africa	12
5	6	2	38	1	1	1	-2	Africa	12
5	6	5	38	2	1	2	3	Africa	12
1	6	5	40	-2	1	1	-2	Africa	12
5	6	2	40	1	1	1	-2	Africa	12
5	6	4	41	2	1	2	3	Africa	12
-2	1	2	44	-2	1	1	-2	Africa	12
1	1	5	47	1	1	1	-2	Africa	12
-2	1	2	50	-2	1	1	-2	Africa	12
7	6	3	60	2	1	1	-2	Africa	12
5	6	5	62	2	1	2	3	Africa	12
5	1	5	34	2	1	2	3	Africa	12
5	6	7	20	2	1	2	3	Africa	12
7	6	5	25	2	1	2	3	Africa	12
5	1	2	34	1	1	1	-2	Africa	12
5	6	5	38	2	1	2	3	Africa	12
7	6	3	39	2	1	2	3	Africa	12
1	6	5	40	-2	1	1	-2	Africa	12
5	6	5	40	2	1	2	3	Africa	12
1	1	5	44	1	1	1	-2	Africa	12
-2	1	2	60	-2	1	1	1	Africa	12
-2	6	2	70	1	1	1	-2	Africa	12
2	6	4	19	1	1	1	3	Africa	12
4	6	4	22	1	2	2	3	Africa	12
4	1	2	32	1	1	1	3	Africa	12
8	6	2	32	1	1	2	4	Africa	12
7	1	2	32	1	1	1	3	Africa	12
4	6	3	38	1	1	1	-2	Africa	12
3	1	2	41	1	1	1	3	Africa	12
7	1	4	45	1	1	1	4	Africa	12
5	1	2	55	1	1	1	-2	Africa	12
